,title,abstract
123,Serological Testing Reveals the Hidden COVID-19 Burden among Health Care Workers Experiencing a SARS-CoV-2 Nosocomial Outbreak.,"We describe the results of testing health care workers, from a tertiary care hospital in Japan that had experienced a coronavirus disease 2019 (COVID-19) outbreak during the first peak of the pandemic, for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-specific antibody seroconversion. Using two chemiluminescent immunoassays and a confirmatory surrogate virus neutralization test, serological testing revealed that a surprising 42% of overlooked COVID-19 diagnoses (27/64 cases) occurred when case detection relied solely on SARS-CoV-2 nucleic acid amplification testing (NAAT). Our results suggest that the NAAT-positive population is only the tip of the iceberg and the portion left undetected might potentially have led to silent transmissions and triggered the spread. A questionnaire-based risk assessment was further indicative of exposures to specific aerosol-generating procedures (i.e., noninvasive ventilation and airway suctioning) having mediated transmission and served as the origins of the outbreak. Our observations are supportive of a multitiered testing approach, including the use of serological diagnostics, in order to accomplish exhaustive case detection along the whole COVID-19 spectrum. IMPORTANCE We describe the results of testing frontline health care workers, from a hospital in Japan that had experienced a COVID-19 outbreak, for SARS-CoV-2-specific antibodies. Antibody testing revealed that a surprising 42% of overlooked COVID-19 diagnoses occurred when case detection relied solely on PCR-based viral detection. COVID-19 clusters have been continuously striking the health care system around the globe. Our findings illustrate that such clusters are lined with hidden infections eluding detection with diagnostic PCR and that the cluster burden in total is more immense than actually recognized. The mainstays of diagnosing infectious diseases, including COVID-19, generally consist of two approaches, one aiming to detect molecular fragments of the invading pathogen and the other to measure immune responses of the host. Considering antibody testing as one trustworthy option to test our way through the pandemic can aid in the exhaustive case detection of COVID-19 patients with variable presentations."
124,SARS-CoV-2 testing disparities across geographical regions from a large metropolitan area in Brazil: Results from a web-based survey among individuals interested in clinical trials for COVID-19 vaccines.,"After more than a year since the novel coronavirus (SARS-CoV-2) disease 2019 or COVID-19 has reached the status of a global pandemic, the number of COVID-19 cases continues to rise in Brazil. As no effective treatment been approved yet, only mass vaccination can stop the spread of SARS-CoV-2 and end the COVID-19 pandemic. Multiple COVID-19 vaccine candidates are under development and some are currently in use. This study aims to describe the characteristics of individuals who have registered in an online platform to participate in clinical trials for COVID-19 vaccines. Additionally, participants' characteristics according to age and presence of comorbidities associated with severe COVID-19 and differences of SARS-CoV-2 testing across different geographical areas/neighborhoods are provided. This was a cross-sectional web-based study conducted between September and December/2020, aiming to reach individuals aged ≥18 years who live in Rio de Janeiro metropolitan area, Brazil. Among 21,210 individuals who completed the survey, 20,587 (97.1%) were willing to participate in clinical trials for COVID-19 vaccines. Among those willing to participate, 57.8% individuals were aged 18-59 years and had no comorbidity, 33.7% were aged 18-59 years and had at least one comorbidity, and 8.6% were aged ≥ 60 years regardless the presence of any comorbidity. Almost half (42.6%) reported ever testing for COVID-19, and this proportion was lower among those aged ≥ 60 years (p < 0.001). Prevalence of positive PCR results was 16.0%, higher among those aged 18-59 years (p < 0.009). Prevalence of positive antibody result was 10.0%, with no difference across age and comorbidity groups. Participants from areas/neighborhoods with higher Human Development Index (HDI) reported ever testing for SARS-CoV-2 more frequently than those from lower HDI areas. Interest to participate in clinical trials for COVID-19 vaccines candidates in Rio de Janeiro was significantly high. The online registry successfully reached out a large number of individuals with diverse sociodemographic, economic and clinical backgrounds."
125,Neutralizing Antibodies in COVID-19 Patients and Vaccine Recipients after Two Doses of BNT162b2.,"The evaluation of the neutralizing capacity of anti-SARS-CoV-2 antibodies is important because they represent real protective immunity. In this study we aimed to measure and compare the neutralizing antibodies (NAbs) in COVID-19 patients and in vaccinated individuals. One-hundred and fifty long-term samples from 75 COVID-19 patients were analyzed with a surrogate virus neutralization test (sVNT) and compared to six different SARS-CoV-2 serology assays. The agreement between the sVNT and pseudovirus VNT (pVNT) results was found to be excellent (i.e., 97.2%). The NAb response was also assessed in 90 individuals who had received the complete dose regimen of BNT162b2. In COVID-19 patients, a stronger response was observed in moderate-severe versus mild patients (p-value = 0.0006). A slow decay in NAbs was noted in samples for up to 300 days after diagnosis, especially in moderate-severe patients (r = -0.35, p-value = 0.03). In the vaccinated population, 83.3% of COVID-19-naive individuals had positive NAbs 14 days after the first dose and all were positive 7 days after the second dose, i.e., at day 28. In previously infected individuals, all were already positive for NAbs at day 14. At each time point, a stronger response was observed for previously infected individuals (p-value < 0.05). The NAb response remained stable for up to 56 days in all participants. Vaccinated participants had significantly higher NAb titers compared to COVID patients. In previously infected vaccine recipients, one dose might be sufficient to generate sufficient neutralizing antibodies."
126,Clinical Performance of the Point-of-Care cobas Liat for Detection of SARS-CoV-2 in 20 Minutes: a Multicenter Study.,"Highly accurate testing for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) at the point of care (POC) is an unmet diagnostic need in emergency care and time-sensitive outpatient care settings. Reverse transcription-PCR (RT-PCR) technology is the gold standard for SARS-CoV-2 diagnostics. We performed a multisite U.S. study comparing the clinical performance of the first U.S. Food and Drug Administration (FDA)-authorized POC RT-PCR for detection of SARS-CoV-2 in 20 min, the cobas Liat SARS-CoV-2 and influenza A/B nucleic acid test, to the most widely used RT-PCR laboratory test, the cobas 68/8800 SARS-CoV-2 test. Clinical nasopharyngeal swab specimens from 444 patients with 357 evaluable specimens at five U.S. clinical laboratories were enrolled from 21 September 2020 to 23 October 2020. The overall agreement between the Liat and 68/8800 systems for SARS-CoV-2 diagnostics was 98.6% (352/357). Using Liat, positive percent agreement for SARS-CoV-2 was 100% (162/162) and the negative percent agreement was 97.4% (190/195). The Liat is an RT-PCR POC test that provides highly accurate SARS-CoV-2 results in 20 min with performance equivalent to that of high-throughput laboratory molecular testing. Rapid RT-PCR testing at the POC can enable more timely infection control and individual care decisions for coronavirus disease 2019."
127,"The performance of point-of-care antibody test for COVID-19 diagnosis in a tertiary hospital in Bandung, Indonesia.","Introduction: We aim to describe the performance of combined IgM and IgG point-of-care antibody test (POC-Ab) (Wondfo®) compared to real-time reverse transcriptase (rRT-PCR) (Allplex™ 2019-nCoV Assay) in detecting coronavirus disease 2019 (COVID-19). Methodology: We compared POC-Ab with rRT-PCR results among patients in a tertiary hospital from January to March 2020 in Bandung, Indonesia. We selected presumptive COVID-19 patients with positive rRT-PCR consecutively and 20 patients with negative rRT-PCR results were selected randomly from the same group of patients as controls. We described the sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV) with corresponding 95% confidence interval using serum and capillary blood samples. We also tested POC-Ab using non-COVID-19 (confirmed dengue and typhoid) patients' sera. Results: Twenty-seven patients with positive rRT-PCR result and 20 negative controls were included (68.1% males, mean age 46 (SD: 15.4)). Using the serum, the sensitivity of the POC-Ab was 63.0% (42.4-80.6), specificity was 95.0% (75.1-99.9), PPV was 94.4% (72.7-99.8), NPV was 65.5% (45.7-82.1). A subset of 20 patients was tested using a capillary blood sample. The accuracy of the capillary blood sample is lower compared to serum (50.0% vs. 78.7%). None of the non-COVID-19 sera tested were reactive. Conclusions: POC-Ab for COVID-19 has a high specificity with no false-positive result in non-COVID-19 sera. Therefore, it can be used to guide diagnostic among symptomatic patients in resource limited settings. Given its low sensitivity, patients with high suspicion of COVID-19 but non-reactive result should be prioritized for rRT-PCR testing."
128,RNA-extraction-free nano-amplified colorimetric test for point-of-care clinical diagnosis of COVID-19.,"The global pandemic of coronavirus disease 2019 (COVID-19) highlights the shortcomings of the current testing paradigm for viral disease diagnostics. Here, we report a stepwise protocol for an RNA-extraction-free nano-amplified colorimetric test for rapid and naked-eye molecular diagnosis of COVID-19. The test employs a unique dual-prong approach that integrates nucleic acid (NA) amplification and plasmonic sensing for point-of-care detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), with a sample-to-assay response time of <1 h. The RNA-extraction-free nano-amplified colorimetric test utilizes plasmonic gold nanoparticles capped with antisense oligonucleotides (ASOs) as a colorimetric reporter to detect the amplified nucleic acid from the COVID-19 causative virus, SARS-CoV-2. The ASOs are specific for the SARS-CoV-2 N-gene, and binding of the ASOs to their target sequence results in the aggregation of the plasmonic gold nanoparticles. This highly specific agglomeration step leads to a change in the plasmonic response of the nanoparticles. Furthermore, when tested using clinical samples, the accuracy, sensitivity and specificity of the test were found to be >98.4%, >96.6% and 100%, respectively, with a detection limit of 10 copies/μL. The test can easily be adapted to diagnose other viral infections with a simple modification of the ASOs and primer sequences. It also provides a low-cost, rapid approach requiring minimal instrumentation that can be used as a screening tool for the diagnosis of COVID-19 at point-of-care settings in resource-poor situations. The colorimetric readout of the test can even be monitored using a handheld optical reader to obtain a quantitative response. Therefore, we anticipate that this protocol will be widely useful for the development of biosensors for the molecular diagnostics of COVID-19 and other infectious diseases."
129,Prevalence of SARS-CoV-2 IgG antibodies in an area of northeastern Italy with a high incidence of COVID-19 cases: a population-based study.,"Objectives: A seroprevalence study of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) was conducted in a high-incidence area located in northeastern Italy. Methods: All citizens above 10 years of age resident in five municipalities of the Autonomous Province of Trento, with the highest incidence of coronavirus disease 2019 (COVID-19) cases, were invited to participate in the study. Among 6098 participants, 6075 sera and a standardized questionnaire administered face-to-face were collected between 5 May and 15 May 2020 and examined. Symptomatic individuals and their family contacts were tested by RT-PCR. Anti-SARS-CoV-2 antibodies were detected using an Abbott SARS-CoV-2 IgG assay, which was performed on the Abbott Architect i2000SR automated analyser. Seroprevalence was calculated as the proportion of positive results among the total number tested. A multivariable logistic regression model was performed to assess the relationship between seropositive versus seronegative individuals for a set of explanatory variables. Results: A total of 1402 participants were positive for IgG antibodies against SARS-CoV-2, with a prevalence of 23.1% (1402/6075). The highest prevalence was found in the age class 40-49 years. Overall, 34.4% (2096/6098) of the participants reported at least one symptom. The ratio between reported cases identified by molecular test and those with seropositive results was 1:3, with a maximum ratio of about 1:7 in the age group <20 years and a minimum around 1:1 in those >70 years old. The infection fatality rate was 2.5% (35/1402). Among the symptoms, anosmia and ageusia were strongly associated with seropositivity. Conclusions: The estimated seroprevalence of 23% was three-fold higher than the number of cases reported in the COVID-19 Integrated Surveillance data in the study area. This may be explained in part by a relatively high number of individuals presenting mild or no illness, especially those of younger age, and people who did not seek medical care or testing, but who may contribute to virus transmission in the community."
130,Evaluation of a rapid antigen detection test (Panbio COVID-19 Ag Rapid Test Device) as a point-of-care diagnostic tool for COVID-19 in a pediatric emergency department.,"We evaluated the Panbio™ COVID-19 Ag Rapid Test Device as a point-of-care diagnostic tool for COVID-19 in 357 patients at a pediatric emergency department. Thirty-four patients tested positive by reverse transcription polymerase chain reaction, of which 24 were positive by the antigen assay. The sensitivity and specificity of the assay were 70.5% and 100%, respectively."
131,Effectiveness of the CoronaVac vaccine in older adults during a gamma variant associated epidemic of covid-19 in Brazil: test negative case-control study.,"Objective: To estimate the effectiveness of the inactivated whole virus vaccine, CoronaVac (Sinovac Biotech), against symptomatic covid-19 in the elderly population of São Paulo state, Brazil during widespread circulation of the gamma variant. Design: Test negative case-control study. Setting: Community testing for covid-19 in São Paulo state, Brazil. Participants: 43 774 adults aged ≥70 years who were residents of São Paulo state and underwent reverse transcription polymerase chain reaction (RT-PCR) testing for SARS-CoV-2 from 17 January to 29 April 2021. 26 433 cases with symptomatic covid-19 and 17 622 test negative controls with covid-19 symptoms were formed into 13 283 matched sets, one case with to up to five controls, according to age, sex, self-reported race, municipality of residence, previous covid-19 status, and date of RT-PCR test (±3 days). Intervention: Vaccination with a two dose regimen of CoronaVac. Main outcome measures: RT-PCR confirmed symptomatic covid-19 and associated hospital admissions and deaths. Results: Adjusted vaccine effectiveness against symptomatic covid-19 was 24.7% (95% confidence interval 14.7% to 33.4%) at 0-13 days and 46.8% (38.7% to 53.8%) at ≥14 days after the second dose. Adjusted vaccine effectiveness against hospital admissions was 55.5% (46.5% to 62.9%) and against deaths was 61.2% (48.9% to 70.5%) at ≥14 days after the second dose. Vaccine effectiveness ≥14 days after the second dose was highest for the youngest age group (70-74 years)-59.0% (43.7% to 70.2%) against symptomatic disease, 77.6% (62.5% to 86.7%) against hospital admissions, and 83.9% (59.2% to 93.7%) against deaths-and declined with increasing age. Conclusions: Vaccination with CoronaVac was associated with a reduction in symptomatic covid-19, hospital admissions, and deaths in adults aged ≥70 years in a setting with extensive transmission of the gamma variant. Vaccine protection was, however, low until completion of the two dose regimen, and vaccine effectiveness was observe to decline with increasing age among this elderly population."
132,Ravaging SARS-CoV-2: rudimentary diagnosis and puzzling immunological responses.,"Introduction: In December 2019, the first COVID-19 case, caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) was reported in Wuhan, China. The SARS-CoV-2 rapidly disseminated throughout the world via community spread, acquiring pandemic status with significant fatality. Observations: Rapid SARS-CoV-2 diagnosis was soon perceived critical for arresting community spread and effective therapy development. Human SARS-CoV-2 infection can be diagnosed either by nucleic acid identification or specific antibody detection. Contrary to nucleic acid identification confirmed active SARS-CoV-2 infection; antibody detection confirms a past infection, even in asymptomatic subjects. SARS-CoV-2 specific antibodies augment the ability to effectively counter the virus. A crucial hurdle limiting the steadfast implementation of antibody detection is the time required for threshold B lymphocyte population generation. This process is dependent on precise antigen recognition and MHC class I molecules presentation. Conclusions: Thus, nucleic acid and antibody dependent tests complement each other in identifying human SARS-CoV-2 infection and shaping up subsequent immunological responses. This article discusses the complimentary association of nucleic acid identification (corresponding to an active infection) and antibody testing (the yester CoV-2 infection vulnerability) as the diagnostic and screening measures of SARS-CoV-2 infection. Highlights Nucleic acid (RNA) identification and specific antibody detection against SARS-CoV-2 are the noted diagnostic mechanisms for screening human SARS-CoV-2 infection. While nucleic acid identification screens prevailing SARS-CoV-2 infection, detection of SARS-CoV-2 specific antibodies signifies a past infection, even in asymptomatic subjects. Antibodies against SARS-CoV-2 provide a potential therapeutic option via transfer from antibody rich plasma of a recovered subject to an infected individual. Nucleic acid identification may not absolutely confirm the infection because of frequent SARS-CoV-2 genome mutations and possible technical errors, while specific antibody detection also needs at least (8-14) days for detectable screening of B-cell generated antibodies. Nucleic acid and antibody tests are complementary to each other as an early stage diagnostic assay for SARS-CoV-2 infection and possible therapy (antibodies). Sufferers with a high clinical suspicion but negative RT-PCR screening could be examined via combined imaging and repeated swab test."
133,Independent Side-by-Side Validation and Comparison of 4 Serological Platforms for SARS-CoV-2 Antibody Testing.,"Highly sensitive and specific platforms for the detection of anti-severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) antibodies are becoming increasingly important for evaluating potential SARS-CoV-2 convalescent plasma donors, studying the spread of SARS-CoV-2 infections, and identifying individuals with seroconversion. This study provides a comparative validation of 4 anti-SARS-CoV-2 platforms. A unique feature of the study is the use of a representative cohort of convalescent patients with coronavirus disease 2019 and a mild to moderate disease course. All platforms showed significant correlations with a SARS-CoV-2 plaque reduction neutralization test, with highest sensitivities for the Euroimmun and the Roche platforms, suggesting their preferential use for screening persons at increased risk of SARS-CoV-2 infections."
134,"Effectiveness of BNT162b2 and mRNA-1273 covid-19 vaccines against symptomatic SARS-CoV-2 infection and severe covid-19 outcomes in Ontario, Canada: test negative design study.","Objective: To estimate the effectiveness of mRNA covid-19 vaccines against symptomatic infection and severe outcomes (hospital admission or death). Design: Test negative design study. Setting: Ontario, Canada between 14 December 2020 and 19 April 2021. Participants: 324 033 community dwelling people aged ≥16 years who had symptoms of covid-19 and were tested for SARS-CoV-2. Interventions: BNT162b2 (Pfizer-BioNTech) or mRNA-1273 (Moderna) vaccine. Main outcome measures: Laboratory confirmed SARS-CoV-2 by reverse transcription polymerase chain reaction (RT-PCR) and hospital admissions and deaths associated with SARS-CoV-2 infection. Multivariable logistic regression was adjusted for personal and clinical characteristics associated with SARS-CoV-2 and vaccine receipt to estimate vaccine effectiveness against symptomatic infection and severe outcomes. Results: Of 324 033 people with symptoms, 53 270 (16.4%) were positive for SARS-CoV-2 and 21 272 (6.6%) received at least one dose of vaccine. Among participants who tested positive, 2479 (4.7%) were admitted to hospital or died. Vaccine effectiveness against symptomatic infection observed ≥14 days after one dose was 60% (95% confidence interval 57% to 64%), increasing from 48% (41% to 54%) at 14-20 days after one dose to 71% (63% to 78%) at 35-41 days. Vaccine effectiveness observed ≥7 days after two doses was 91% (89% to 93%). Vaccine effectiveness against hospital admission or death observed ≥14 days after one dose was 70% (60% to 77%), increasing from 62% (44% to 75%) at 14-20 days to 91% (73% to 97%) at ≥35 days, whereas vaccine effectiveness observed ≥7 days after two doses was 98% (88% to 100%). For adults aged ≥70 years, vaccine effectiveness estimates were observed to be lower for intervals shortly after one dose but were comparable to those for younger people for all intervals after 28 days. After two doses, high vaccine effectiveness was observed against variants with the E484K mutation. Conclusions: Two doses of mRNA covid-19 vaccines were observed to be highly effective against symptomatic infection and severe outcomes. Vaccine effectiveness of one dose was observed to be lower, particularly for older adults shortly after the first dose."
135,"Coronavirus Disease 2019 (COVID-19) Mitigation Efforts and Testing During an In-Person Training Event-Uganda, 12-29 October 2020.","Large public-health training events may result in severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission. Universal SARS-CoV-2 testing during trainings for the Uganda Population-based HIV Impact Assessment identified 28 of 475 (5.9%) individuals with coronavirus disease 2019 (COVID-19) among attendees; most (89.3%) were asymptomatic. Until COVID-19 vaccine is readily available for staff and participants, effective COVID-19 mitigation measures, along with SARS-CoV-2 testing, are recommended for in-person trainings, particularly when trainees will have subsequent contact with survey participants."
136,Clinical Characteristics Associated with Return Visits to the Emergency Department after COVID-19 Diagnosis.,"Introduction: Patients diagnosed with coronavirus disease 2019 (COVID-19) require significant healthcare resources. While published research has shown clinical characteristics associated with severe illness from COVID-19, there is limited data focused on the emergency department (ED) discharge population. Methods: We performed a retrospective chart review of all ED-discharged patients from Wake Forest Baptist Health and Wake Forest Baptist Health Davie Medical Center between April 25-August 9, 2020, who tested positive for severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) from a nasopharyngeal swab using real-time reverse transcription polymerase chain reaction (rRT-PCR) tests. We compared the clinical characteristics of patients who were discharged and had return visits within 30 days to those patients who did not return to the ED within 30 days. Results: Our study included 235 adult patients who had an ED-performed SARS-CoV-2 rRT-PCR positive test and were subsequently discharged on their first ED visit. Of these patients, 57 (24.3%) had return visits to the ED within 30 days for symptoms related to COVID-19. Of these 57 patients, on return ED visits 27 were admitted to the hospital and 30 were not admitted. Of the 235 adult patients who were discharged, 11.5% (27) eventually required admission for COVID-19-related symptoms. With 24.3% patients having a return ED visit after a positive SARS-CoV-2 test and 11.5% requiring eventual admission, it is important to understand clinical characteristics associated with return ED visits. We performed multivariate logistic regression analysis of the clinical characteristics with independent association resulting in a return ED visit, which demonstrated the following: diabetes (odds ratio [OR] 2.990, 95% confidence interval [CI, 1.21-7.40, P = 0.0179); transaminitis (OR 8.973, 95% CI, 2.65-30.33, P = 0.004); increased pulse at triage (OR 1.04, 95% CI, 1.02-1.07, P = 0.0002); and myalgia (OR 4.43, 95% CI, 2.03-9.66, P = 0.0002). Conclusion: As EDs across the country continue to treat COVID-19 patients, it is important to understand the clinical factors associated with ED return visits related to SARS-CoV-2 infection. We identified key clinical characteristics associated with return ED visits for patients initially diagnosed with SARS-CoV-2 infection: diabetes mellitus; increased pulse at triage; transaminitis; and complaint of myalgias."
137,Rapid SARS-CoV-2 antigen detection potentiates early diagnosis of COVID-19 disease.,"As the COVID-19 epidemic is still ongoing, a more rapid detection of SARS-CoV-2 infection such as viral antigen-detection needs to be evaluated for early diagnosis of COVID-19 disease. Here, we report the dynamic changes of SARS-CoV-2 viral antigens in nasopharyngeal swabs of COVID-19 patients and its association with the viral nucleic acid clearance and clinical outcomes. Eighty-five COVID-19 patients were enrolled for detection of SARS-CoV-2 viral antigens, including 57 anti-SARS-CoV-2 antibody negative cases and 28 antibody positive cases. The viral antigen could be detected in 52.63% (30/57) patients with SARS-CoV-2 antibody negative at the early stage of SARS-CoV-2 infection, especially in the first 5 days after disease onset (p = 0.0018) and disappeared in about 8 days after disease onset. Viral antigens were highly detectable in patients with low Ct value (less than 30) of SARS-CoV-2 nucleic acid RT-PCT assay, suggesting the expression of viral antigen was associated with high viral load. Furthermore, positive antigen detection indicated disease progression, nine cases with positive antigen (9/30, 30.0%), in contrast to two cases (2/27, 7.40%) (p = 0.0444) with negative antigen, which progressed into severe disease. Thus, the viral antigens were persistent in early stages of infection when virus was in highly replicating status, and viral antigen detection promises to rapidly screen positive patients in the early stage of SARS-CoV-2 infection."
138,Clinical characteristics and viral load dynamics of COVID-19 in a mildly or moderately symptomatic outpatient sample.,"Background: Studies of outpatients with mild or moderate COVID-19 are uncommon. We studied: 1) association of symptoms with reverse transcriptase polymerase chain reaction (RT-PCR) test results; and 2) association of initial RT-PCR cycle threshold (Ct) in relation to duration of RT-PCR positivity in outpatients with mild or moderate COVID-19. Methods: This was a cohort study of outpatients with confirmed COVID-19 and at least one symptom. Participants had repeat nasopharyngeal swabs and symptom checklists every 3-5 days until two consecutive RT-PCR tests were negative. RT-PCR tests were used to assess viral load. Antibody tests for COVID-19 were performed at 2 weeks, 4 weeks, and 8 weeks after symptom onset. Results: Twenty-five patients (nine females) were enrolled, ranging in age from 19-58 (median age 28 years). All patients reported at least one symptom, with a median of six symptoms per patient. Symptoms persisted for 6-67 days (median duration 18 days). In all 25 patients, blood samples collected a median of 13 days after symptom onset were positive for SARS-CoV-2 antibodies in 15 (60%). After a median of 28 days following symptom onset, 23/23 patients with available samples tested positive for antibodies. The longest duration of positive RT-PCR test was 49 days from first positive PCR test (Mean = 27.4, SD = 12.5, Median = 24). Initial Ct was significantly associated with longer duration (β = -1.3, SE = 0.3, p<0.01 per 1 cycle higher) of RT-PCR positivity. Conclusions: In mildly or moderately ill COVID-19 outpatients, RT-PCT tests remained positive for as long as 49 days and test positivity and symptom duration correlated with initial viral load."
139,"Recurrence of SARS-CoV-2 infection with a more severe case after mild COVID-19, reversion of RT-qPCR for positive and late antibody response: Case report.","In general, SARS‐CoV‐2 replication in the host reaches its peak in the first week of infection, decreasing rapidly afterwards, while some level of immunity is build up. Yet, the infection seems to follow a distinctive course in some individuals, reactivating after the apparent resolution of symptoms1‐3. We report here the first case to be disclosed of a more vigorous COVID‐19 recurrence with SARS‐CoV‐2 RNA redetection and late antibody response, and also the first to address COVID‐19 recurrence in Brazil. This article is protected by copyright. All rights reserved."
140,Collection of lower respiratory specimen by bronchoscopy for the diagnosis of COVID-19.,"Bronchoscopy, as an aerosol-generating procedure, is not routinely performed in patients with high-risk of coronavirus disease-2019 (COVID-19) owing to potential transmission to healthcare workers. However, to obtain lower respiratory specimens from bronchoscopy with bronchoalveolar lavage (BAL) is necessary to confirm COVID-19 or other diagnosis that will change clinical management. We report a case of diagnostic difficulty with five negative SARS-CoV-2 RT-PCR testing in four upper respiratory tract and one stool samples following presentation with fever during the quarantine period and a strong epidemiological linkage to an index patient with COVID-19. The final diagnosis was confirmed by BAL. Special precautions to be taken when performing bronchoscopy in high-risk non-intubated patients were discussed."
141,Keeping up with COVID: identification of New Zealand's earliest known cluster of COVID-19 cases.,"We report the earliest known cluster of SARS-CoV-2 infection so far reported, which occurred in New Zealand in late February 2020. The cluster includes one confirmed and five probable cases. The cluster was identified while investigating a weak positive nasopharyngeal swab (NPS) polymerase chain reaction (PCR) test that was returned by a male in his 60s in September 2020. The PCR result, combined with a clear clinical and epidemiological history of a COVID-19 like illness in late February 2020, prompted serological testing. SARS-CoV-2 IgG antibodies were detected and supported historical infection. Serology was also reactive for five close contacts who had also experienced a COVID-19 like illness in February 2020. Combined case histories and investigations suggest that this local cluster was import related, with the index case identified as a family member visiting from Italy in February. Case investigation also suggests this cluster was active in New Zealand prior to any previously documented local cases, indicating that SARS-CoV-2 was present and local transmission was occurring earlier than initially suspected. A weak positive PCR result, six months after acute infection, supports international evidence that SARS-CoV-2 genetic material can be detected for several months after initial COVID-19 infection, and that this is not necessarily indicative of infectivity."
142,Salivary testing of COVID-19: evaluation of serological testing following positive salivary results.,"Background: Salivary detection of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has been proposed as an alternative to nasopharyngeal or oropharyngeal swab testing. Our group previously published a study demonstrating that both testing methods identified SARS-CoV-2 using polymerase chain reaction (PCR)-based detection methodology. We therefore conducted a follow-up study using antibody testing to evaluate the accuracy of saliva versus swabs for COVID-19 detection and the durability of antibody response. Methods: Venous blood samples were collected from consenting participants and the presence of serum antibodies for SARS-CoV-2 was evaluated on a large, automated immunoassay platform by the Roche anti-SARS-CoV-2 qualitative assay (Roche Diagnostics, Laval Quebec). Individuals with a serum antibody cut-off index (COI) ≥ 1.0 were considered positive. Results: In asymptomatic and mildly symptomatic patients with a previously positive standard swab and/or saliva SARS-CoV-2 PCR-test, 42 demonstrated antibodies with 13 patients positive by swab alone, and 8 patients positive by saliva alone. Conclusions: Despite their status as 'current standard' for COVID-19 testing, these findings highlight limitations of PCR-based tests."
143,"Field evaluation of COVID-19 antigen tests versus RNA based detection: Potential lower sensitivity compensated by immediate results, technical simplicity, and low cost.","One year into the coronavirus disease 2019 (COVID-19) pandemic, diagnostic strategies, although central for contact tracing and other preventive measures, are still limited. To meet the global demand, lower cost and faster antigen tests for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) detection are a convenient alternative to the gold standard reverse transcription-polymerase chain reaction (RT-PCR) assay. We tested laboratory-based RT-PCR RNA detection and two rapid antigen detection (RAD) tests, based on the immunochromatography test for nucleocapsid protein of SARS-CoV-2 (COVID-19 Ag ECO Test, ECO Diagnóstica, and Panbio COVID-19 Ag Rapid Test Abbott). Paired collection and testing were done in a small prospective open study in three clinical services in São Paulo, constituted of mostly symptomatic volunteers at collection (97%, 109/112) for a median of 4 days (interquartile range: 3-6), ranging from 1 to 30. Among the 108 paired RT-PCR/RAD tests, results were concordant in 96.4% (101/108). The test's performance was comparable, with an overall sensitivity of 87% and a specificity of 96%. These observations add to other data that suggest that antigen tests may provide reasonable sensitivity and specificity and deserve a role to improve testing strategies, especially in resource-limited settings."
144,Symptomatic recurrence of SARS-CoV-2 infection in healthcare workers recovered from COVID-19.,"There is rising concern that patients who recover from COVID-19 may be at risk of recurrence. Increased rates of infection and recurrence in healthcare workers could cause the healthcare system collapse and a further worsening of the COVID-19 pandemic. Herein, we reported the clinically symptomatic recurrent COVID-19 cases in the two healthcare workers who treated and recovered from symptomatic and laboratory confirmed COVID-19. We discuss important questions in the COVID-19 pandemic waiting to be answered, such as the protection period of the acquired immunity, the severity of recurrence and how long after the first infection occurs. We aimed to emphasize that healthcare workers should continue to pay maximum attention to the measures without compromising."
145,Unified platform for genetic and serological detection of COVID-19 with single-molecule technology.,"The COVID-19 pandemic raises the need for diverse diagnostic approaches to rapidly detect different stages of viral infection. The flexible and quantitative nature of single-molecule imaging technology renders it optimal for development of new diagnostic tools. Here we present a proof-of-concept for a single-molecule based, enzyme-free assay for detection of SARS-CoV-2. The unified platform we developed allows direct detection of the viral genetic material from patients' samples, as well as their immune response consisting of IgG and IgM antibodies. Thus, it establishes a platform for diagnostics of COVID-19, which could also be adjusted to diagnose additional pathogens."
146,Extractionless nucleic acid detection: a high capacity solution to COVID-19 testing.,"We describe an extractionless real-time reverse transcriptase-PCR (rRT-PCR) protocol for SARS-CoV-2 nucleic acid detection using heat as an accurate cost-effective high-capacity solution to COVID-19 testing. We present the effect of temperature, transport media, rRT-PCR mastermixes and gene assays on SARS-CoV-2 gene amplification and limits of detection. Utilizing our heated methodology, our limits of detection were 12.5 and 1 genome copy/reaction for singleplex E- and N1-gene assays, respectively, and 1 genome copy/reaction by utilizing an E/N1 or Orf1ab/N1 multiplex assay combination. Using this approach, we detected up to 98% of COVID-19 positive patient samples analyzed in our various cohorts including a significant percentage of weak positives. Importantly, this extractionless approach will allow for >2-fold increase in testing capacity with existing instruments, circumvent the additional need for expensive extraction devices, provide the sensitivity needed for COVID-19 detection and significantly reduce the turn-around time of reporting COVID-19 test results."
